SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 10:00:00,1.0
2,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 11:00:00,1.0
3,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 12:00:00,1.0
4,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 13:00:00,1.0
5,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 14:00:00,1.0
6,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 15:00:00,1.0
7,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 16:00:00,1.0
8,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 17:00:00,1.0
9,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 19:00:00,1.0
10,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 20:00:00,1.0
11,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 21:00:00,1.0
12,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 22:00:00,1.0
13,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-05 23:00:00,1.0
14,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-06 00:00:00,1.0
15,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-06 01:00:00,1.0
16,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-06 02:00:00,1.0
17,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-06 03:00:00,1.0
18,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-06 04:00:00,1.0
19,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-06 05:00:00,1.0
20,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-06 16:00:00,0.5
21,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 02:00:00,0.5
22,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 04:00:00,3.0
23,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 05:00:00,1.5
24,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 06:00:00,3.0
25,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 07:00:00,3.0
26,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 08:00:00,3.5
27,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 11:00:00,0.5
28,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 12:00:00,0.5
29,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 13:00:00,0.5
30,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 14:00:00,1.0
31,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 15:00:00,1.5
32,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 16:00:00,1.5
33,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 17:00:00,2.0
34,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 18:00:00,2.0
35,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 19:00:00,2.0
36,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 20:00:00,2.0
37,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 21:00:00,2.0
38,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 22:00:00,2.0
39,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-07 23:00:00,2.0
40,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 00:00:00,2.0
41,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 01:00:00,2.5
42,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 02:00:00,3.0
43,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 03:00:00,4.0
44,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 04:00:00,4.0
45,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 05:00:00,5.5
46,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 06:00:00,7.5
47,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 08:00:00,13.0
48,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,2022-10-08 09:00:00,2.5
