village,vlcode,district,landslide_count,rainfall_station,rainfall_distance_m,river_station,river_distance_m,highway,road_distance_m,mean_slope_deg
Than Lagga Dobal,047874,Pauri Garhwal,0,Srinagar_2,30779.697908828413,Rudraprayag_3,38748.31383937051,tertiary,0.0,
Naand Talla,048840,Pauri Garhwal,0,Virbhadra,0.0,Koteshwar,23169.36749629677,unclassified,0.0,
Katharra,055998,Udam Singh Nagar,0,Sitarganj_1,12026.953641001473,Kheri_5,86849.22226048453,unclassified,0.0,
Khet Khera,054435,Champawat,0,Tanakpur_1,1405.1496674688583,Kheri_5,113612.8209739876,unclassified,728.4065336514029,
Balelpur Majra Harjauli Jhojha,056470,Haridwar,0,Roorkee_2,5586.332881846578,Koteshwar,78736.90511074959,tertiary,0.0,
Bhamli Chak,046234,Pauri Garhwal,0,Srinagar_2,15169.366883670797,Rudraprayag_3,25456.33419831854,unclassified,0.0,
Kanda Talla,045394,Pauri Garhwal,0,Srinagar_2,8497.894624299888,Koteshwar,21281.33366194785,unclassified,0.0,
Abdul Rahimpur,056907,Haridwar,0,Khanpur_5,7110.94534251351,Koteshwar,76690.76540046801,unclassified,0.0,
Maheshri,056829,Haridwar,0,Khanpur_5,9176.333975548852,Koteshwar,75398.6729920251,residential,0.0,
Shivpuri Aht,056871,Haridwar,0,Khanpur_5,12951.777466357327,Koteshwar,71422.33257916923,track,0.0,
Khatki,056528,Haridwar,0,Roorkee_2,5689.148391500356,Koteshwar,68340.57015441779,trunk,0.0,
Khatka Mu,056529,Haridwar,0,Roorkee_2,6714.610663905838,Koteshwar,68353.42849706515,track,409.42985561567417,
Akaudha Aurangzebpur,056821,Haridwar,0,Khanpur_5,10313.048938794203,Koteshwar,71827.78634879715,residential,0.0,
Kolda Pakha,048203,Pauri Garhwal,0,Srinagar_2,35976.77148667726,Marchula_1,38939.2037641484,path,0.0,
Kasampur,056690,Haridwar,0,Bahadarabad,7982.818299192747,Koteshwar,65035.308643578675,residential,0.0,
Bichpari,056443,Haridwar,0,Bahadarabad,3382.244985247165,Koteshwar,59701.80242686518,primary,0.0,
Ladpur Kalan Aht,056781,Haridwar,0,Roorkee_2,11558.254387067873,Koteshwar,69316.23392004121,track,0.0,
Rawali Mahdood CT,056777,Haridwar,0,Bahadarabad,2127.098649207654,Koteshwar,53819.490698717025,residential,0.0,
Anand Nagar,055313,Nainital,0,Tumaria,3734.906099639698,Kheri_5,33045.83917299803,unclassified,0.0,
Nayagaon Telipura,055337,Nainital,0,Tumaria,18701.58748970672,Kheri_5,25424.241736571963,tertiary,0.0,
Karanpur,055333,Nainital,0,Tumaria,17371.90455919426,Kheri_5,24329.677272385605,unclassified,0.0,
Pathurankara,048376,Pauri Garhwal,0,Yamkeshwar,9875.816866267869,Koteshwar,41056.616098344435,unclassified,0.0,
Shri Rampur,048537,Pauri Garhwal,0,Dugadda (Khoh),12450.913263681236,Koteshwar,52341.710555760335,tertiary,0.0,
Bhair Gaon,048401,Pauri Garhwal,0,Yamkeshwar,12968.34731710238,Koteshwar,42589.56669432341,track,0.0,
Jugarsain,048507,Pauri Garhwal,0,Dugadda (Khoh),13503.722830205972,Koteshwar,47721.07106969748,trunk,296.2366359523324,
Khubari Walli,047517,Pauri Garhwal,0,Dugadda (Khoh),23480.939015834047,Marchula_1,32703.604016147146,unclassified,0.0,
Choksera,047369,Pauri Garhwal,0,Dugadda (Khoh),13318.844926572798,Marchula_1,47568.42574675304,unclassified,0.0,
Matiyalana Sera,048126,Pauri Garhwal,0,Yamkeshwar,31258.732539311324,Rudraprayag_3,40401.73440252864,path,0.0,
Handul Malla,047789,Pauri Garhwal,0,Dugadda (Khoh),25236.845569788395,Koteshwar,43784.22804943967,tertiary,0.0,
Garkot,047407,Pauri Garhwal,4,Dugadda (Khoh),23395.873154111745,Koteshwar,44530.93712954889,tertiary,0.0,
Sindoli Malli,047179,Pauri Garhwal,2,Tumaria,38603.2871165911,Marchula_1,10739.190469327377,unclassified,0.0,
Umta,047162,Pauri Garhwal,2,Tumaria,39410.16122302716,Marchula_1,11647.661698964885,unclassified,0.0,
Jhabara,047651,Pauri Garhwal,0,Dugadda (Khoh),35104.76297941262,Marchula_1,22164.15560725974,track,0.0,
Kalakhand,047216,Pauri Garhwal,0,Tumaria,33407.66190568295,Kheri_5,4543.670971727435,tertiary,1221.505976116845,
Koilekh,052188,Almora,0,Nainital_1,40917.99671528874,Marchula_1,5306.063659219384,primary,0.0,
Jaspur Talla,052144,Almora,0,Gairsain (Ramganga),42394.547420896,Marchula_1,8436.115138986803,unclassified,746.9625567967518,
Bhawali Talli,052156,Almora,0,Nainital_1,41962.74186254142,Marchula_1,8520.34450527097,primary,0.0,
Khandsari,047962,Pauri Garhwal,0,Dugadda (Khoh),34198.826069153605,Marchula_1,38749.14835134458,unclassified,0.0,
Kakun Talla,046975,Pauri Garhwal,0,Gairsain (Ramganga),40141.332159831254,Marchula_1,11368.407195411453,unclassified,0.0,
Bagarkhet Bichla,047010,Pauri Garhwal,0,Gairsain (Ramganga),43410.82212651933,Marchula_1,7685.944647935826,primary,0.0,
Braman Pasta,047825,Pauri Garhwal,0,Dugadda (Khoh),28682.285798375666,Marchula_1,40787.62617079427,tertiary,0.0,
Bangarh,047599,Pauri Garhwal,0,Dugadda (Khoh),40626.73826103423,Marchula_1,22678.056996091906,primary,270.3775985523013,
Syalni Lagga Kandai,047841,Pauri Garhwal,0,Dugadda (Khoh),31161.43146845443,Marchula_1,37301.64190997655,tertiary,0.0,
Bhadmoli Malli,048141,Pauri Garhwal,0,Srinagar_2,33139.846208409996,Rudraprayag_3,39118.464656934346,tertiary,0.0,
Uchear,048217,Pauri Garhwal,0,Srinagar_2,34918.941743805684,Rudraprayag_3,38572.25131196633,unclassified,0.0,
Bhair Gaon,048142,Pauri Garhwal,0,Srinagar_2,33052.418404552816,Rudraprayag_3,38821.33796603308,tertiary,0.0,
Nowthala,048159,Pauri Garhwal,0,Srinagar_2,32891.36149802604,Rudraprayag_3,36464.97054594265,primary,0.0,
Sera Chack,048204,Pauri Garhwal,0,Srinagar_2,36433.876317548806,Marchula_1,38412.980386035444,tertiary,0.0,
Dhniya Kande,052688,Almora,0,Baijnath (Gomti),24905.007938886964,Marchula_1,34160.04363274822,unclassified,0.0,
Bhulbagar,051792,Almora,0,Gairsain (Ramganga),33798.628727798045,Marchula_1,16834.10687848321,primary,671.7066545291038,
Mail Dhar,046711,Pauri Garhwal,0,Gairsain (Ramganga),21382.68447475349,Marchula_1,35082.220643967106,primary,0.0,
Bhatkot Palla,045619,Pauri Garhwal,0,Srinagar_2,15373.720236194398,Koteshwar,19456.777846218072,unclassified,0.0,
Bailan Gaon,045656,Pauri Garhwal,1,Srinagar_2,17030.833563894237,Koteshwar,20636.69446929975,unclassified,0.0,
Gumma Wala,056413,Haridwar,0,Roorkee_2,8708.611119890882,Koteshwar,64144.77195466963,track,0.0,
Kotaun Lagga Wajali,046103,Pauri Garhwal,0,Srinagar_2,11053.27335782376,Koteshwar,24299.403402781754,tertiary,0.0,
Motichur Range,045358,Dehradun,1,Virbhadra,7058.650098615928,Koteshwar,34353.320240899084,residential,0.0,
Bishan Garh,045315,Dehradun,0,Doiwala (Bhogpur),2649.836635997596,Koteshwar,26567.270409029978,service,0.0,
Missar Wala Kala,045253,Dehradun,0,Doiwala (Bhogpur),10612.567113564348,Koteshwar,36547.68558988114,unclassified,0.0,
Sakalana,044603,Tehri Garhwal,0,Doiwala (Bhogpur),2502.627870343186,Koteshwar,13430.675236495668,track,0.0,
Thapla,046011,Pauri Garhwal,0,Yamkeshwar,28815.630418484307,Rudraprayag_3,39451.14710350402,tertiary,0.0,
Tankan,047253,Pauri Garhwal,0,Yamkeshwar,11851.457586439952,Koteshwar,27950.26008031923,unclassified,0.0,
Kodiyar Gaon,045988,Pauri Garhwal,0,Srinagar_2,22849.30749090517,Rudraprayag_3,32635.846423255873,tertiary,247.99743126806743,
Kothi Bamtad,044680,Dehradun,0,Chakrata,7853.420542375873,Tekhla,58688.930300810876,tertiary,0.0,
Butol Gaon,045934,Pauri Garhwal,0,Srinagar_2,23295.058671635943,Rudraprayag_3,33157.724774098104,tertiary,0.0,
Baurari Chak,044138,Tehri Garhwal,0,Kempty,10650.753908425022,Tekhla,38019.53220063287,tertiary,0.0,
Kyarda,043740,Tehri Garhwal,0,Joshiyara,24387.45872672374,Tekhla,27146.35694908886,secondary,0.0,
Gair,043742,Tehri Garhwal,0,Kempty,24686.130218255686,Tekhla,27591.433920458512,unclassified,0.0,
Dawar,048780,Pauri Garhwal,0,Yamkeshwar,3257.3073007241455,Koteshwar,31495.718776380865,unclassified,0.0,
Bantuo,044838,Dehradun,0,Chakrata,11150.960715137562,Tekhla,53050.78489002942,trunk,0.0,
Bist Danda,048680,Pauri Garhwal,1,Yamkeshwar,3941.662022754896,Koteshwar,29669.285715925365,unclassified,0.0,
Baluni Danda,048726,Pauri Garhwal,1,Yamkeshwar,2644.253103989704,Koteshwar,31119.613870108187,tertiary,0.0,
F 1,040705,Uttar Kashi,5,Kempty,15418.45583620248,Tekhla,22163.800783088176,path,0.0,
Rangarisera,040473,Uttar Kashi,1,Joshiyara,10425.729481759863,Tekhla,12570.138444320894,unclassified,0.0,
Thathol Gaun,048771,Pauri Garhwal,0,Yamkeshwar,4975.768687550765,Koteshwar,29981.928706562783,unclassified,82.27884966348284,
Jamal,048730,Pauri Garhwal,0,Yamkeshwar,4781.888554814343,Koteshwar,30591.74054925704,tertiary,0.0,
Borgaon,043159,Tehri Garhwal,0,Yamkeshwar,16230.39466803242,Koteshwar,17004.793292186427,tertiary,0.0,
Dal,047242,Pauri Garhwal,0,Yamkeshwar,18124.586412755347,Koteshwar,26998.109340664378,tertiary,0.0,
Gawari,047243,Pauri Garhwal,0,Yamkeshwar,18033.983002545312,Koteshwar,27989.755241866675,tertiary,0.0,
Patli,047733,Pauri Garhwal,0,Yamkeshwar,20949.469610817738,Koteshwar,35966.469683396084,tertiary,289.7408885726747,
Damaili,045991,Pauri Garhwal,0,Srinagar_2,24521.16513660493,Rudraprayag_3,33792.63418500579,tertiary,236.7579082090584,
Gadlenda,045806,Pauri Garhwal,2,Yamkeshwar,22260.452156529565,Koteshwar,32846.79515264988,unclassified,0.0,
Vojli,045982,Pauri Garhwal,0,Yamkeshwar,28411.58510895711,Rudraprayag_3,40636.658029863414,tertiary,284.82225339294644,
Kyarki,045928,Pauri Garhwal,0,Srinagar_2,22746.108270934714,Rudraprayag_3,32870.27918428541,tertiary,0.0,
Semi,045929,Pauri Garhwal,0,Srinagar_2,22976.77201657963,Rudraprayag_3,33395.42470720564,tertiary,0.0,
Sunar Gaon,045995,Pauri Garhwal,0,Srinagar_2,26016.779584867792,Rudraprayag_3,35212.99216837701,tertiary,0.0,
Buransi,045644,Pauri Garhwal,0,Srinagar_2,13576.550227070593,Koteshwar,23651.448084601725,tertiary,0.0,
Nagoli,046175,Pauri Garhwal,0,Srinagar_2,19634.00143191017,Koteshwar,26461.534332101066,service,0.0,
Biju,045718,Pauri Garhwal,2,Srinagar_2,22767.44516315418,Koteshwar,19517.844335066435,tertiary,0.0,
Naun,045737,Pauri Garhwal,0,Srinagar_2,22794.883509942443,Koteshwar,22051.800153017037,unclassified,0.0,
Chaundi,045734,Pauri Garhwal,0,Yamkeshwar,22725.568607636655,Koteshwar,21162.19829369058,tertiary,0.0,
Pokhari,045687,Pauri Garhwal,0,Srinagar_2,19509.544224065397,Koteshwar,17689.149339908396,tertiary,782.238176529063,
Dewal,046142,Pauri Garhwal,0,Srinagar_2,12122.719049179348,Rudraprayag_3,24974.232388313103,tertiary,0.0,
Mulwani,044388,Tehri Garhwal,0,Doiwala (Bhogpur),23132.458833300876,Koteshwar,1441.1463111829507,unclassified,0.0,
Khadi Gaon,046126,Pauri Garhwal,0,Srinagar_2,9038.733505817952,Rudraprayag_3,23164.832922900638,unclassified,0.0,
Dobhal Gaon,044389,Tehri Garhwal,0,Doiwala (Bhogpur),23923.777132202307,Koteshwar,1033.1826015380939,tertiary,0.0,
Kanda,043978,Tehri Garhwal,0,Doiwala (Bhogpur),24372.09434642672,Koteshwar,9815.70510478338,tertiary,0.0,
Kulpi,044366,Tehri Garhwal,0,Doiwala (Bhogpur),23377.53030899547,Koteshwar,2803.515597838451,tertiary,0.0,
Matali,044028,Tehri Garhwal,0,Doiwala (Bhogpur),17277.360801769104,Koteshwar,14038.495830368323,tertiary,0.0,
Lawali,046078,Pauri Garhwal,0,Srinagar_2,10746.492856036637,Koteshwar,19857.605399214077,tertiary,0.0,
Birakot,043075,Tehri Garhwal,2,Srinagar_2,16903.048771981983,Koteshwar,12763.816760726348,tertiary,0.0,
Kharet Talla,045586,Pauri Garhwal,0,Srinagar_2,12764.676846611348,Koteshwar,18188.728403589834,unclassified,0.0,
Chaunra,043703,Tehri Garhwal,0,Srinagar_2,22716.811765806833,Koteshwar,8702.092347384794,unclassified,0.0,
Unchhaun,043230,Tehri Garhwal,0,Srinagar_2,14492.583702607988,Koteshwar,16527.58929226951,trunk,0.0,
Gauli,043243,Tehri Garhwal,0,Srinagar_2,11112.316730661927,Koteshwar,18483.46113967307,tertiary,415.5502737855713,
Nau Gaon Pathar,048083,Pauri Garhwal,0,Srinagar_2,30385.48664109506,Rudraprayag_3,34671.76309519163,primary,0.0,
Adkatta,048075,Pauri Garhwal,0,Srinagar_2,27871.752124602306,Rudraprayag_3,33616.64362403748,track,0.0,
Rainuka,048165,Pauri Garhwal,0,Srinagar_2,32013.93301161459,Rudraprayag_3,35914.52579422817,unclassified,0.0,
Khandku,048003,Pauri Garhwal,0,Srinagar_2,25125.134152021747,Rudraprayag_3,30646.122834329813,unclassified,0.0,
Simdi,046474,Pauri Garhwal,0,Srinagar_2,22801.75036646557,Rudraprayag_3,18674.816471795904,unclassified,0.0,
Molthi,046457,Pauri Garhwal,0,Srinagar_2,20211.367913692986,Rudraprayag_3,14720.32370033121,unclassified,0.0,
Khola Laga Kandaye,046466,Pauri Garhwal,1,Srinagar_2,20831.808748356747,Rudraprayag_3,16208.689748442759,unclassified,0.0,
Ithur,046402,Pauri Garhwal,0,Srinagar_2,19204.918929796353,Rudraprayag_3,23723.457219214342,unclassified,0.0,
Majiyada,046226,Pauri Garhwal,0,Srinagar_2,14286.845579248511,Rudraprayag_3,23570.835992550867,tertiary,31.752301241095154,
Syslmi,046339,Pauri Garhwal,0,Srinagar_2,19095.839778064725,Rudraprayag_3,18487.64864963991,unclassified,0.0,
Latugair,046352,Pauri Garhwal,1,Srinagar_2,21594.841549534973,Rudraprayag_3,21864.325229663973,trunk,0.0,
Baheli,046382,Pauri Garhwal,0,Srinagar_2,18237.784042862615,Rudraprayag_3,26195.481701210687,unclassified,0.0,
Than,046295,Pauri Garhwal,0,Srinagar_2,9900.1183670947,Rudraprayag_3,15086.091978729406,tertiary,0.0,
Bholnaon,041279,Chamoli,1,Nandprayag (Nandakini),15166.666413047298,Karnaprayag (P),5887.576318894885,unclassified,0.0,
Chamsera,045448,Pauri Garhwal,0,Srinagar_2,5044.120170276778,Rudraprayag_3,18642.63679148645,trunk,0.0,
Kothagi,042568,Rudra Prayag,0,Chandranagar_1,11573.497188139298,Rudraprayag_3,12366.202372727212,path,0.0,
